
Tempo:1950018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1021	4.073366017586673
1021	1021	1.0
1020	1021	5.169776888674742
1064	1021	818.4766158482444
1063	1021	341.59168853908807
1062	1021	24.5470822944836
1061	1021	336.9129660431638
1060	1021	352.0973477640735
1019	1021	8.910730754557893
1018	1021	338.8862856871119
1017	1021	6.6299301620945785
1016	1021	341.6873201350124
1015	1021	11.225009624218954
1059	1021	16.25604716916071
1058	1021	492.84339083526777
1014	1021	17.6358844255115
1013	1021	6.0361197181029045
1057	1021	411.8219195989568
1012	1021	5.52895312864382
1056	1021	370.34973620095985
1033	1021	14.843003921853246
1032	1021	343.1458443582135
1031	1021	7.989603525201037
1030	1021	307.23975237549257
1029	1021	12.643825503063786
1028	1021	179.99446384539124
1027	1021	340.9058530775914
1026	1021	168.48361958154658
1025	1021	341.3296761741555
1024	1021	166.86307598011143
1023	1021	341.02248767596564
1000	1021	173.64188915827472
1044	1021	8.496700290124796
1043	1021	358.0873712865746
1042	1021	21.55275160570024
1041	1021	11.679051944570627
1040	1021	9.435785948076761
1039	1021	15.315086447662045
1038	1021	6.346971792624129
1037	1021	18.162035520240426
1036	1021	8.40696235767447
1035	1021	352.05696117457074
1034	1021	4.664225412374741
1055	1021	129.91387772423576
1011	1021	113.1776804716095
1010	1021	5.642608022396546
1054	1021	10.285935651669206
1053	1021	39.755092855815235
1052	1021	366.9960180649537
1051	1021	11.809955572222245
1050	1021	4.150039910525573
1008	1021	5.589556696583322
1007	1021	341.6714840226166
1006	1021	339.7584193568345
1049	1021	309.68971998690046
1005	1021	11.503814014481174
1004	1021	15.218874568508822
1048	1021	11.081420792222305
1003	1021	166.10675330326808
1047	1021	344.91181062978245
1002	1021	5.535715897916962
1046	1021	313.8130651762915
1001	1021	6.904010132604973
1045	1021	85.71490427609251
1009	1021	344.5181884021603
=========================

Tempo:1950018.0346666668
Destinazione	 NEXTHOP	 Costo
1022	1021	4.073366017586673
1021	1021	1.0
1020	1021	5.169776888674742
1064	1031	237.36769100269723
1063	1021	341.59168853908807
1062	1021	24.5470822944836
1061	1021	336.9129660431638
1060	1021	352.0973477640735
1019	1021	8.910730754557893
1018	1031	3.257371484490357
1017	1021	6.6299301620945785
1016	1031	5.361603784096602
1015	1021	11.225009624218954
1059	1021	16.25604716916071
1058	1021	492.84339083526777
1014	1031	17.562060336031873
1013	1021	6.0361197181029045
1057	1021	411.8219195989568
1012	1021	5.52895312864382
1056	1021	370.34973620095985
1033	1021	14.843003921853246
